"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",9194.02397639368,1035.65287364708,8.87751505387769,0.00000000000000000122967794080912
"2","a85a",180.201949874834,41.2132337644319,4.37242927611161,0.000012759271081856
"3","a7584",196.73522550858,32.4571212994499,6.06138861464325,0.00000000154069870079509
"4","a6574",-73.2550702087918,27.3967930028015,-2.6738556662928,0.00754432337693721
"5","a5564",30.1100805338943,26.8316619829033,1.12218469929593,0.261885200621324
"6","a2034",-25.7541578881529,14.573296323959,-1.76721568790255,0.0773067575922901
"7","pdensity",0.0297846573125975,0.0255880860853786,1.16400488935422,0.244526422738935
"8","pop",-0.000000105991365579994,0.000078022495450628,-0.00135847187362861,0.998916198465084
"9","aindian",3.0165466659476,4.8130762326222,0.626739847896438,0.530883562662343
"10","black",2.67840254554003,3.52800462027048,0.759183400767396,0.447810122903098
"11","latino",12.6686721252962,2.55783571523624,4.95288733745986,0.000000776986613150006
"12","asian",5.13761855288342,11.9261254631781,0.43078689459924,0.666658233077094
"13","sparent",53.3078396167463,17.8889300642455,2.97993448603683,0.00290920546861764
"14","mincome",-0.00509114656458756,0.00416903142652265,-1.22118210292169,0.222125304514494
"15","poverty",14.5675873074868,10.4562949414863,1.39318825540092,0.163679278304096
"16","chci",-17.1943677235468,5.32341816329885,-3.2299487276971,0.00125320668308044
"17","lcp",-3.38962548945879,6.21390910298187,-0.545490034257535,0.585462270241542
"18","ur",-3.3847126270751,14.2014093052505,-0.238336390024596,0.811638557318708
"19","disable",7.74081240278387,10.4220134998881,0.742736746874006,0.45770666264853
"20","hi_pub",-17.4499309949402,6.10898052622871,-2.8564391259752,0.00431746877088436
"21","demv",-22.0486633723489,3.13365291274764,-7.03608982432464,0.00000000000250502051463128
"22","hosp",0.0103463859694436,0.0155811040203316,0.664034201680622,0.506725972655064
"23","vcrime",-0.195005680344037,0.149284299430829,-1.30627052602,0.191573515561738
"24","commute_p",36.3914887452901,14.7540628141828,2.46654017971969,0.0137051511612217
"25","wfh",-62.4692620279265,11.6848140112006,-5.34619224302977,0.0000000974513264483663
"26","computer",-43.511515821628,6.94631634826414,-6.26396979925934,0.00000000043626648534493
"27","p_nursehome",331.025277839139,53.789657867819,6.1540692200086,0.000000000869144456777812
"28","p_liquor",606.240631147845,546.505070492616,1.10930467781641,0.267399046186655
"29","drinking",-27.5812230331398,11.135177134203,-2.47694515324959,0.0133129493349257
"30","prematured",0.147442142855657,0.0177025278736413,8.32887505717163,0.000000000000000128940919914876
"31","lowbirthw",78.4262620830326,21.4868197155307,3.64997068534745,0.000267318533441388
"32",NA,NA,NA,NA,NA
"33","(Intercept)",19.7042842498502,6.07070796189386,3.24579676267331,0.00118575306733553
"34","a85a",0.600581402299811,0.241580468432502,2.48605115387303,0.0129778902359939
"35","a7584",0.332436820330742,0.190254582115773,1.74732622275793,0.0806961614584122
"36","a6574",-1.13073698257064,0.160592350626877,-7.04103886739796,0.00000000000241919602653883
"37","a5564",-0.1279029090239,0.157279710388717,-0.813219382892984,0.416165069843152
"38","a2034",0.0775778759256593,0.085424593776625,0.908144510801141,0.363884143518994
"39","pdensity",0.000226353799685747,0.000149990215718812,1.50912376918035,0.131385920491507
"40","pop",0.000000736410791486489,0.000000457346082255317,1.61018279167281,0.107476609714673
"41","aindian",0.0943089525704582,0.0282129089293084,3.34275890539196,0.000840979341720084
"42","black",-0.184632598643609,0.0206801779658584,-8.92799853794419,0.000000000000000000790525662444074
"43","latino",-0.00631331123886479,0.0149933187430063,-0.421074969930167,0.67373435733534
"44","asian",-0.237284661429419,0.0699076173553226,-3.3942604598203,0.000698224896274963
"45","sparent",0.0770068380256503,0.104859912943943,0.734378237247033,0.462782976263806
"46","mincome",0.0000397341255625353,0.000024437698111386,1.62593569089154,0.104081792657556
"47","poverty",-0.110901047176946,0.0612918812552074,-1.8093921234882,0.0705029437136667
"48","chci",0.0585190260026591,0.031204390825107,1.87534588739912,0.0608546173962347
"49","lcp",-0.00595455609441883,0.0364242000634003,-0.163478019669733,0.870154497131639
"50","ur",-0.137270489011448,0.0832446959142759,-1.64899982519976,0.0992657534285272
"51","disable",0.115535299385407,0.061090933016902,1.89120207663945,0.0587059329914357
"52","hi_pub",0.194784736080744,0.0358091380454845,5.43952596215327,0.0000000582862457064794
"53","demv",0.0486429435191793,0.0183685983704532,2.64815760779134,0.00814098411575781
"54","hosp",0.00051288192864757,0.0000913320810844929,5.61557256286643,0.0000000216202470687484
"55","vcrime",-0.00254798783744402,0.000875062878886296,-2.91177685503798,0.00362369744363373
"56","commute_p",-0.0745221488684703,0.0864841964672263,-0.861685162291019,0.388938462469206
"57","wfh",-0.343616168692745,0.0684931170047784,-5.01679852982559,0.000000560008069186245
"58","computer",-0.116170980055057,0.0407173668265323,-2.85310640420286,0.00436286816680659
"59","p_nursehome",0.580007823493964,0.315299954835051,1.83954299580346,0.0659467348751046
"60","p_liquor",-0.571183948122517,3.20346012363351,-0.178302187659091,0.858499238432949
"61","drinking",0.0199435123913424,0.0652712991059009,0.305547961577792,0.759972755337346
"62","prematured",0.000218626082776731,0.000103767275351358,2.10688853529649,0.0352206474469401
"63","lowbirthw",0.968737400993238,0.125949737447742,7.69146026521235,0.0000000000000203359891212658
"64",NA,NA,NA,NA,NA
"65","(Intercept)",506.236237731482,60.5179953925599,8.36505298048453,0.0000000000000000956770759850954
"66","a85a",-0.125213266937771,2.40828018203163,-0.051992815400798,0.958538322124558
"67","a7584",7.43962901727093,1.8966199652773,3.92257234104526,0.0000898253228409707
